이름	그룹	프로필	사용	작업	다시 정의	프로그램	로컬 주소	원격 주소	프로토콜	로컬 포트	원격 포트	권한이 부여된 사용자	권한이 부여된 컴퓨터	권한 있는 로컬 보안 주체	로컬 사용자 소유자	응용 프로그램 패키지	
네트워크 검색(LLMNR-UDP-In)	네트워크 검색	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	로컬 서브넷	UDP	5355	모두	모두	모두	모두	모두	모두	
네트워크 검색(NB-Datagram-In)	네트워크 검색	모두	아니요	허용	아니요	System	모두	모두	UDP	138	모두	모두	모두	모두	모두	모두	
네트워크 검색(NB-Name-In)	네트워크 검색	모두	아니요	허용	아니요	System	모두	모두	UDP	137	모두	모두	모두	모두	모두	모두	
네트워크 검색(Pub-WSD-In)	네트워크 검색	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	로컬 서브넷	UDP	3702	모두	모두	모두	모두	모두	모두	
네트워크 검색(SSDP-In)	네트워크 검색	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	로컬 서브넷	UDP	1900	모두	모두	모두	모두	모두	모두	
네트워크 검색(UPnP-In)	네트워크 검색	모두	아니요	허용	아니요	System	모두	모두	TCP	2869	모두	모두	모두	모두	모두	모두	
네트워크 검색(WSD Events-In)	네트워크 검색	모두	아니요	허용	아니요	System	모두	모두	TCP	5357	모두	모두	모두	모두	모두	모두	
네트워크 검색(WSD EventsSecure-In)	네트워크 검색	모두	아니요	허용	아니요	System	모두	모두	TCP	5358	모두	모두	모두	모두	모두	모두	
네트워크 검색(WSD-In)	네트워크 검색	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	로컬 서브넷	UDP	3702	모두	모두	모두	모두	모두	모두	
라우팅 및 원격 액세스(GRE-In)	라우팅 및 원격 액세스	모두	아니요	허용	아니요	System	모두	모두	GRE	모두	모두	모두	모두	모두	모두	모두	
라우팅 및 원격 액세스(L2TP-In)	라우팅 및 원격 액세스	모두	아니요	허용	아니요	System	모두	모두	UDP	1701	모두	모두	모두	모두	모두	모두	
라우팅 및 원격 액세스(PPTP-In)	라우팅 및 원격 액세스	모두	아니요	허용	아니요	System	모두	모두	TCP	1723	모두	모두	모두	모두	모두	모두	
World Wide Web 서비스(HTTPS 트래픽 인)	보안 World Wide Web 서비스(HTTPS)	모두	예	허용	아니요	System	모두	모두	TCP	443	모두	모두	모두	모두	모두	모두	
성능 로그 및 경고(DCOM-In)	성능 로그 및 경고	개인, 공용	아니요	허용	아니요	%systemroot%\system32\svchost.exe	모두	로컬 서브넷	TCP	135	모두	모두	모두	모두	모두	모두	
성능 로그 및 경고(DCOM-In)	성능 로그 및 경고	도메인	아니요	허용	아니요	%systemroot%\system32\svchost.exe	모두	모두	TCP	135	모두	모두	모두	모두	모두	모두	
성능 로그 및 경고(TCP-In)	성능 로그 및 경고	도메인	아니요	허용	아니요	%systemroot%\system32\plasrv.exe	모두	모두	TCP	모두	모두	모두	모두	모두	모두	모두	
성능 로그 및 경고(TCP-In)	성능 로그 및 경고	개인, 공용	아니요	허용	아니요	%systemroot%\system32\plasrv.exe	모두	로컬 서브넷	TCP	모두	모두	모두	모두	모두	모두	모두	
원격 데스크톱 - 사용자 모드(TCP-In)	원격 데스크톱	모두	예	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	3389	모두	모두	모두	모두	모두	모두	
원격 데스크톱 - 사용자 모드(UDP-In)	원격 데스크톱	모두	예	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	UDP	3389	모두	모두	모두	모두	모두	모두	
원격 볼륨 관리 - 가상 디스크 서비스 로더(RPC)	원격 볼륨 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\vdsldr.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
원격 볼륨 관리 - 가상 디스크 서비스(RPC)	원격 볼륨 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\vds.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
원격 볼륨 관리(RPC-EPMAP)	원격 볼륨 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
원격 서비스 관리(NP-In)	원격 서비스 관리	모두	아니요	허용	아니요	System	모두	모두	TCP	445	모두	모두	모두	모두	모두	모두	
원격 서비스 관리(RPC)	원격 서비스 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\services.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
원격 서비스 관리(RPC-EPMAP)	원격 서비스 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
원격 시스템 종료를 위한 인바운드 규칙(RPC-EP-In)	원격 시스템 종료	모두	아니요	허용	아니요	%systemroot%\system32\wininit.exe	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
원격 시스템 종료를 위한 인바운드 규칙(TCP-In)	원격 시스템 종료	모두	아니요	허용	아니요	%systemroot%\system32\wininit.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
원격 예약된 작업 관리(RPC)	원격 예약된 작업 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
원격 예약된 작업 관리(RPC-EPMAP)	원격 예약된 작업 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
원격 이벤트 로그 관리(NP-In)	원격 이벤트 로그 관리	모두	아니요	허용	아니요	System	모두	모두	TCP	445	모두	모두	모두	모두	모두	모두	
원격 이벤트 로그 관리(RPC)	원격 이벤트 로그 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
원격 이벤트 로그 관리(RPC-EPMAP)	원격 이벤트 로그 관리	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
키 관리 서비스(TCP-In)	키 관리 서비스	모두	아니요	허용	아니요	%SystemRoot%\system32\sppextcomobj.exe	모두	모두	TCP	1688	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(LLMNR-UDP-In)	파일 및 프린터 공유	모두	아니요	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	로컬 서브넷	UDP	5355	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(NB-Datagram-In)	파일 및 프린터 공유	모두	아니요	허용	아니요	System	모두	모두	UDP	138	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(NB-Name-In)	파일 및 프린터 공유	모두	아니요	허용	아니요	System	모두	모두	UDP	137	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(NB-Session-In)	파일 및 프린터 공유	모두	아니요	허용	아니요	System	모두	모두	TCP	139	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(SMB-In)	파일 및 프린터 공유	모두	아니요	허용	아니요	System	모두	모두	TCP	445	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(스풀러 서비스 - RPC)	파일 및 프린터 공유	모두	아니요	허용	아니요	%SystemRoot%\system32\spoolsv.exe	모두	모두	TCP	RPC 동적 포트	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(스풀러 서비스 - RPC-EPMAP)	파일 및 프린터 공유	모두	아니요	허용	아니요	모두	모두	모두	TCP	RPC 끝점 매퍼	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(에코 요청 - ICMPv4-In)	파일 및 프린터 공유	도메인	예	허용	아니요	모두	모두	모두	ICMPv4	모두	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(에코 요청 - ICMPv4-In)	파일 및 프린터 공유	개인, 공용	예	허용	아니요	모두	모두	모두	ICMPv4	모두	모두	모두	모두	모두	모두	모두	
파일 및 프린터 공유(에코 요청 - ICMPv6-In)	파일 및 프린터 공유	모두	아니요	허용	아니요	모두	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - DHCP(Dynamic Host Configuration Protocol)(DHCP-In)	핵심 네트워킹	모두	예	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	UDP	68	67	모두	모두	모두	모두	모두	
